05/24/2020 22:22:51 - INFO - __main__ -   TRAIN Batch 0000/1314, Loss  211.6870, Recon-Loss  211.3136, KL-Loss    0.3734, KL-Weight  1.000
05/24/2020 22:22:54 - INFO - __main__ -   TRAIN Batch 0050/1314, Loss  137.6751, Recon-Loss  137.6064, KL-Loss    0.0687, KL-Weight  1.000
05/24/2020 22:22:58 - INFO - __main__ -   TRAIN Batch 0100/1314, Loss  142.0624, Recon-Loss  142.0165, KL-Loss    0.0459, KL-Weight  1.000
05/24/2020 22:23:02 - INFO - __main__ -   TRAIN Batch 0150/1314, Loss  125.0770, Recon-Loss  125.0389, KL-Loss    0.0381, KL-Weight  1.000
05/24/2020 22:23:06 - INFO - __main__ -   TRAIN Batch 0200/1314, Loss  156.5193, Recon-Loss  156.4885, KL-Loss    0.0308, KL-Weight  1.000
05/24/2020 22:23:10 - INFO - __main__ -   TRAIN Batch 0250/1314, Loss  147.7258, Recon-Loss  147.6956, KL-Loss    0.0302, KL-Weight  1.000
05/24/2020 22:23:14 - INFO - __main__ -   TRAIN Batch 0300/1314, Loss  132.8429, Recon-Loss  132.8207, KL-Loss    0.0221, KL-Weight  1.000
05/24/2020 22:23:17 - INFO - __main__ -   TRAIN Batch 0350/1314, Loss  134.9624, Recon-Loss  134.9413, KL-Loss    0.0211, KL-Weight  1.000
05/24/2020 22:23:21 - INFO - __main__ -   TRAIN Batch 0400/1314, Loss  129.8856, Recon-Loss  129.8587, KL-Loss    0.0268, KL-Weight  1.000
05/24/2020 22:23:25 - INFO - __main__ -   TRAIN Batch 0450/1314, Loss  126.1318, Recon-Loss  126.0847, KL-Loss    0.0471, KL-Weight  1.000
05/24/2020 22:23:29 - INFO - __main__ -   TRAIN Batch 0500/1314, Loss  107.5153, Recon-Loss  107.4854, KL-Loss    0.0299, KL-Weight  1.000
05/24/2020 22:23:33 - INFO - __main__ -   TRAIN Batch 0550/1314, Loss  126.7813, Recon-Loss  126.7477, KL-Loss    0.0336, KL-Weight  1.000
05/24/2020 22:23:37 - INFO - __main__ -   TRAIN Batch 0600/1314, Loss  124.2944, Recon-Loss  124.2468, KL-Loss    0.0476, KL-Weight  1.000
05/24/2020 22:23:42 - INFO - __main__ -   TRAIN Batch 0650/1314, Loss  114.2152, Recon-Loss  114.1855, KL-Loss    0.0296, KL-Weight  1.000
05/24/2020 22:23:46 - INFO - __main__ -   TRAIN Batch 0700/1314, Loss  126.6289, Recon-Loss  126.5861, KL-Loss    0.0428, KL-Weight  1.000
05/24/2020 22:23:51 - INFO - __main__ -   TRAIN Batch 0750/1314, Loss  130.8238, Recon-Loss  130.7579, KL-Loss    0.0658, KL-Weight  1.000
05/24/2020 22:23:56 - INFO - __main__ -   TRAIN Batch 0800/1314, Loss  127.1120, Recon-Loss  127.0476, KL-Loss    0.0644, KL-Weight  1.000
05/24/2020 22:24:00 - INFO - __main__ -   TRAIN Batch 0850/1314, Loss  140.9335, Recon-Loss  140.8826, KL-Loss    0.0509, KL-Weight  1.000
05/24/2020 22:24:05 - INFO - __main__ -   TRAIN Batch 0900/1314, Loss  128.4849, Recon-Loss  128.3858, KL-Loss    0.0991, KL-Weight  1.000
05/24/2020 22:24:09 - INFO - __main__ -   TRAIN Batch 0950/1314, Loss  148.3135, Recon-Loss  148.1936, KL-Loss    0.1198, KL-Weight  1.000
05/24/2020 22:24:14 - INFO - __main__ -   TRAIN Batch 1000/1314, Loss  121.9835, Recon-Loss  121.8800, KL-Loss    0.1035, KL-Weight  1.000
05/24/2020 22:24:19 - INFO - __main__ -   TRAIN Batch 1050/1314, Loss  121.2650, Recon-Loss  121.1686, KL-Loss    0.0964, KL-Weight  1.000
05/24/2020 22:24:23 - INFO - __main__ -   TRAIN Batch 1100/1314, Loss   96.9189, Recon-Loss   96.7823, KL-Loss    0.1366, KL-Weight  1.000
05/24/2020 22:24:28 - INFO - __main__ -   TRAIN Batch 1150/1314, Loss  134.0684, Recon-Loss  133.9498, KL-Loss    0.1186, KL-Weight  1.000
05/24/2020 22:24:33 - INFO - __main__ -   TRAIN Batch 1200/1314, Loss  122.1815, Recon-Loss  122.0084, KL-Loss    0.1731, KL-Weight  1.000
05/24/2020 22:24:38 - INFO - __main__ -   TRAIN Batch 1250/1314, Loss  120.4524, Recon-Loss  120.3263, KL-Loss    0.1261, KL-Weight  1.000
05/24/2020 22:24:43 - INFO - __main__ -   TRAIN Batch 1300/1314, Loss  105.6725, Recon-Loss  105.4867, KL-Loss    0.1859, KL-Weight  1.000
05/24/2020 22:24:44 - INFO - __main__ -   TRAIN Batch 1314/1314, Loss  148.3053, Recon-Loss  148.1628, KL-Loss    0.1424, KL-Weight  1.000
05/24/2020 22:24:44 - INFO - __main__ -   TRAIN Epoch 00/10, Mean Negative ELBO  129.2387
05/24/2020 22:24:44 - INFO - __main__ -   Model saved at bin\2020-May-25-05-22-32\E0.pytorch
